GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_008808035.1	14217398	GCF_008808035.1	14254938	
GCA_008033155.1	13280828	GCF_008033155.1	13338198	
GCA_901553735.1	10615408	GCF_901553735.1	10705588	
GCA_902384015.1	13232668	GCF_902384015.1	13337678	
GCA_001274875.1	2300598	GCF_001274875.1	2301848	
GCA_009731485.1	15580738	GCF_009731485.1	15590028	
GCA_009936335.1	15959178	GCF_009936335.1	16072208	
GCA_003226695.1	6648658	GCF_003226695.1	6659338	
GCA_003391135.1	7081918	GCF_003391135.1	7098308	
GCA_000280865.2	26438178	GCF_000280865.2	26688878	
GCA_013364315.1	20123938	GCF_013364315.1	20140158	
GCA_007747015.1	12889578	GCF_007747015.1	15516488	
GCA_000364445.2	15642888	GCF_000364445.2	15724728	
GCA_002142475.1	4479448	GCF_002142475.1	4518048	
GCA_016599635.1	24514148	GCF_016599635.1	24571858	
GCA_000235585.1	315988	GCF_000235585.1	351708	
GCA_000012325.1	13128	GCF_000012325.1	33428	
GCA_000022185.1	22988	GCF_000022185.1	43148	
GCA_000024165.1	24968	GCF_000024165.1	44768	
GCA_000834395.1	1526808	GCF_000834395.1	1528088	
GCA_001886435.1	3744958	GCF_001886435.1	3766788	
GCA_000250635.1	359548	GCF_000250635.1	361928	
GCA_009834205.1	15737668	GCF_009834205.1	15851248	
GCA_016888945.1	25005408	GCF_016888945.1	25014248	
GCA_012648005.1	19056898	GCF_012648005.1	19099148	
GCA_000612685.1	995018	GCF_000612685.1	1640618	
GCA_000203875.1	265648	GCF_000203875.1	276388	
GCA_016728785.1	24678368	GCF_016728785.1	24725048	
GCA_018324105.1	26659288	GCF_018324105.1	26725188	
GCA_003019655.1	6293038	GCF_003019655.1	6318728	
GCA_000026085.1	26888	GCF_000026085.1	45048	
GCA_003798325.1	7883008	GCF_003798325.1	7926728	
GCA_000023745.1	24548	GCF_000023745.1	44388	
GCA_000303155.1	438918	GCF_000303155.1	439448	
GCA_000014765.1	15568	GCF_000014765.1	35868	
GCA_000284315.1	408158	GCF_000284315.1	408178	
GCA_000226315.1	304418	GCF_000226315.1	304828	
GCA_000022725.1	23528	GCF_000022725.1	43628	
GCA_005886435.1	10742268	GCF_005886435.1	10752188	
GCA_003355195.1	7008858	GCF_003355195.1	7033778	
GCA_000021285.1	22088	GCF_000021285.1	42308	
GCA_000016085.1	16888	GCF_000016085.1	37188	
GCA_000025225.2	288538	GCF_000025225.2	288548	
GCA_000007905.1	8708	GCF_000007905.1	29488	
GCA_000300255.2	605048	GCF_000300255.2	599268	
GCA_000253015.1	362728	GCF_000253015.1	441388	
GCA_001702115.1	3378858	GCF_001702115.1	3380998	
GCA_000011225.1	12028	GCF_000011225.1	32388	
GCA_000012565.1	13368	GCF_000012565.1	33668	
GCA_000496595.1	856868	GCF_000496595.1	868338	
GCA_001021085.1	1799048	GCF_001021085.1	1799558	
GCA_000015105.1	15908	GCF_000015105.1	36208	
GCA_000283915.1	407358	GCF_000283915.1	407378	
GCA_000277285.1	397738	GCF_000277285.1	398248	
GCA_000397185.1	684208	GCF_000397185.1	687318	
GCA_000512145.2	890468	GCF_000512145.1	1495438	
GCA_018831585.1	27329388	GCF_018831585.1	27364338	
GCA_000319245.1	506148	GCF_000319245.1	521578	
GCA_000203215.1	354978	GCF_000203215.1	263638	
GCA_000348805.1	560968	GCF_000348805.1	562008	
GCA_000364725.1	588468	GCF_000364725.1	589798	
GCA_004296495.1	8645868	GCF_004296495.1	13506878	
GCA_901538265.1	16505808	GCF_901538265.1	16990988	
GCA_014466955.1	21977268	GCF_014466955.1	22003618	
GCA_000284275.1	408078	GCF_000284275.1	408098	
GCA_003665435.1	7592888	GCF_003665435.1	7609718	
GCA_017167965.1	25327818	GCF_017167965.1	25404988	
GCA_010977575.1	17215968	GCF_010977575.1	17310758	
GCA_002074155.1	4319238	GCF_002074155.1	4329218	
GCA_900187145.1	4959828	GCF_900187145.1	4965218	
GCA_002163605.1	4545308	GCF_002163605.1	4547848	
GCA_017948325.1	26241948	GCF_017948325.1	26362148	
GCA_017348895.1	25535608	GCF_017348895.1	25550008	
GCA_007289895.1	12416478	GCF_007289895.1	12914828	
GCA_003330825.1	6922138	GCF_003330825.1	6935968	
GCA_001499615.1	2769338	GCF_001499615.1	2776928	
GCA_019395145.1	28095708	GCF_019395145.1	28105488	
GCA_018243215.1	26575758	GCF_018243215.1	26691318	
GCA_002998535.1	6221958	GCF_002998535.1	6243948	
GCA_002814155.1	5716478	GCF_002814155.1	5735098	
GCA_010587385.1	16733068	GCF_010587385.1	17348498	
GCA_000477435.1	819768	GCF_000477435.1	822538	
GCA_002173775.1	4557978	GCF_002173775.1	4564628	
GCA_009665275.1	15417968	GCF_009665275.1	15459548	
GCA_014621655.1	22164128	GCF_014621655.1	22176188	
GCA_001548055.1	2859418	GCF_001548055.1	2861798	
GCA_000166415.1	201908	GCF_000166415.1	275468	
GCA_000191585.1	248748	GCF_000191585.1	249428	
GCA_002287505.1	4992938	GCF_002287505.1	4994728	
GCA_003101015.1	6464158	GCF_003101015.1	6486938	
GCA_001305655.1	2366018	GCF_001305655.1	2377148	
GCA_017068355.1	25226938	GCF_017068355.1	25330268	
GCA_013416015.1	20372778	GCF_013416015.1	20381458	
GCA_000299395.1	427498	GCF_000299395.1	428988	
GCA_001543305.1	2853888	GCF_001543305.1	2854668	
GCA_015356815.2	28415058	GCF_015356815.2	28480598	
GCA_019056495.1	27608638	GCF_019056495.1	27642338	
GCA_000392435.1	677698	GCF_000392435.1	686988	
GCA_000988065.1	1748508	GCF_000988065.1	1752458	
GCA_000026205.1	27008	GCF_000026205.1	45168	
GCA_000441555.1	748708	GCF_000441555.1	751688	
GCA_000014905.1	15708	GCF_000014905.1	36008	
GCA_002813575.1	5715568	GCF_002813575.1	5734838	
GCA_000014005.1	14808	GCF_000014005.1	35108	
GCA_000261045.2	3344448	GCF_000261045.2	3350308	
GCA_000196515.1	257338	GCF_000196515.1	264938	
GCA_000317495.1	503878	GCF_000317495.1	504078	
GCA_009914515.1	15884048	GCF_009914515.1	26877928	
GCA_000019785.1	20588	GCF_000019785.1	40828	
GCA_000473245.1	792178	GCF_000473245.1	817228	
GCA_000024045.1	24848	GCF_000024045.1	44668	
GCA_016724865.1	24674328	GCF_016724865.1	24708888	
GCA_000012425.1	13228	GCF_000012425.1	33528	
GCA_000970265.1	1723948	GCF_000970265.1	1837618	
GCA_900683745.1	8660488	GCF_900683745.1	8685748	
GCA_009685195.1	15471058	GCF_009685195.1	15503088	
GCA_000018405.1	19208	GCF_000018405.1	39488	
GCA_016128195.1	24001728	GCF_016128195.1	24051888	
GCA_000243135.3	512738	GCF_000243135.2	514018	
GCA_014678925.1	22235778	GCF_014678925.1	22296368	
GCA_005890195.1	10748168	GCF_005890195.1	10753368	
GCA_009796305.1	15679328	GCF_009796305.1	15727988	
GCA_005890135.1	10748108	GCF_005890135.1	10753828	
GCA_002302495.1	5010038	GCF_002302495.1	5019588	
GCA_002302415.1	5009958	GCF_002302415.1	5020608	
GCA_007990365.1	15540038	GCF_007990365.1	15540608	
GCA_001703555.1	3380298	GCF_001703555.1	7522398	
GCA_000012585.1	13388	GCF_000012585.1	33688	
GCA_000235565.1	315968	GCF_000235565.1	375768	
GCA_014054885.1	21397768	GCF_014054885.1	21533828	
GCA_014054965.1	21397808	GCF_014054965.1	21536968	
GCA_000020505.1	21308	GCF_000020505.1	41548	
GCA_000019665.1	20468	GCF_000019665.1	40708	
GCA_000146065.1	168568	GCF_000146065.2	559088	
GCA_007475525.1	12602508	GCF_007475525.1	12934198	
GCA_000213215.1	281728	GCF_000213215.1	281988	
GCA_000193375.1	253058	GCF_000193375.1	254418	
GCA_902383905.1	13232448	GCF_902383905.1	13320918	
GCA_001941385.1	3959358	GCF_001941385.1	3969848	
GCA_000020565.1	21368	GCF_000020565.1	41608	
GCA_000967915.1	1718698	GCF_000967915.1	1718718	
GCA_900096765.1	6960508	GCF_900096765.1	6969508	
GCA_900015005.1	6749318	GCF_900015005.1	6842738	
GCA_000015225.1	16028	GCF_000015225.1	36328	
GCA_009730315.1	15579578	GCF_009730315.1	15588768	
GCA_000813245.1	1461748	GCF_000813245.1	2261038	
GCA_000299365.1	427478	GCF_000299365.1	428908	
GCA_018127985.1	26449508	GCF_018127985.1	26688598	
GCA_000019605.1	20408	GCF_000019605.1	40648	
GCA_000009305.1	10108	GCF_000009305.1	30848	
GCA_000319385.1	506398	GCF_000319385.1	506418	
GCA_000018205.1	19008	GCF_000018205.1	39288	
GCA_000219355.1	292638	GCF_000219355.1	441658	
GCA_000009945.1	10748	GCF_000009945.1	31448	
GCA_000328725.1	517398	GCF_000328725.1	517418	
GCA_000238995.1	321568	GCF_000238995.1	351568	
GCA_000340795.1	540628	GCF_000340795.1	541208	
GCA_000340905.1	540718	GCF_000340905.1	541168	
GCA_000340865.1	540698	GCF_000340865.1	541538	
GCA_000011745.1	12548	GCF_000011745.1	32848	
GCA_000331065.1	522008	GCF_000331065.1	522068	
GCA_000281235.1	402168	GCF_000281235.1	402878	
GCA_000828515.1	1504298	GCF_000828515.1	1507308	
GCA_000185985.2	326258	GCF_000185985.2	444958	
GCA_000093065.1	113698	GCF_000093065.1	163878	
GCA_000477415.1	819748	GCF_000477415.1	822578	
GCA_002556545.1	5364728	GCF_002556545.1	5416548	
GCA_000280925.3	2031178	GCF_000280925.3	2033738	
GCA_014697215.1	22254218	GCF_014697215.1	22330898	
GCA_012516355.1	18913468	GCF_012516355.1	19263448	
GCA_002082195.1	4347468	GCF_002082195.1	4358858	
GCA_003627815.1	7549808	GCF_003627815.1	7554118	
GCA_007751945.1	12894718	GCF_007751945.1	13042098	
GCA_014217565.1	21626938	GCF_014217565.1	21690928	
GCA_002082585.1	4347858	GCF_002082585.1	4381408	
GCA_000931445.1	1635988	GCF_000931445.1	1659638	
GCA_014023275.1	21292638	GCF_014023275.1	21487898	
GCA_013394065.1	20287308	GCF_013394065.1	20301348	
GCA_016865425.1	24971878	GCF_016865425.1	25012508	
GCA_009739905.1	15600048	GCF_009739905.1	15618208	
GCA_013170785.1	19708398	GCF_013170785.1	19746428	
GCA_013170725.1	19708338	GCF_013170725.1	19748068	
GCA_009363095.1	14837048	GCF_009363095.1	14837448	
GCA_012971725.1	19424928	GCF_012971725.1	19472198	
GCA_002777255.1	5657948	GCF_002777255.1	13396998	
GCA_008000815.1	13231568	GCF_008000815.1	13337778	
GCA_004328625.1	8710698	GCF_004328625.1	8735348	
GCA_014395225.1	21903188	GCF_014395225.1	21997098	
GCA_002327145.1	5048888	GCF_002327145.1	5079398	
GCA_010731735.1	16878568	GCF_010731735.1	17318698	
GCA_008119665.1	13433078	GCF_008119665.1	13573078	
GCA_010726765.1	16873658	GCF_010726765.1	17317458	
GCA_001442805.1	2683528	GCF_001442805.1	2685118	
GCA_016725865.1	24675348	GCF_016725865.1	24708908	
GCA_001676745.1	3323938	GCF_001676745.1	3394458	
GCA_013364095.1	20123718	GCF_013364095.1	20139358	
GCA_001955695.1	3989288	GCF_001955695.1	4007518	
GCA_002234495.1	4843478	GCF_002234495.1	4895718	
GCA_019056575.1	27608778	GCF_019056575.1	27643018	
GCA_019090985.1	27651598	GCF_019090985.1	27665038	
GCA_019645835.1	28403998	GCF_019645835.1	28477578	
GCA_003815875.1	7905458	GCF_003815875.1	7931898	
GCA_009755645.1	15633628	GCF_009755645.1	15645928	
GCA_002075285.3	9996888	GCF_002075285.3	10140628	
GCA_001022135.1	1800378	GCF_001022135.1	1805018	
GCA_003815695.1	7905278	GCF_003815695.1	7932878	
GCA_002025725.1	4197078	GCF_002025725.1	4199408	
GCA_002736205.1	5594968	GCF_002736205.1	5600378	
GCA_002285715.1	4989508	GCF_002285715.1	4991938	
GCA_014076495.1	21442188	GCF_014076495.1	21547268	
GCA_009914535.1	15884068	GCF_009914535.1	26877228	
GCA_009739945.1	15600108	GCF_009739945.1	15608448	
GCA_019645815.1	28403978	GCF_019645815.1	28477658	
GCA_017357285.1	25556468	GCF_017357285.1	25583698	
GCA_009363155.1	14837108	GCF_009363155.1	14837388	
GCA_019428685.1	28150268	GCF_019428685.1	28162498	
GCA_015167415.1	22835598	GCF_015167415.1	22901918	
GCA_903970605.1	20373208	GCF_903970605.1	20480838	
GCA_016599695.1	24514208	GCF_016599695.1	24568948	
GCA_900089455.2	5344518	GCF_900089455.2	5393168	
GCA_003049605.2	26575208	GCF_003049605.2	26682658	
GCA_002216875.1	4679098	GCF_002216875.1	4680738	
GCA_901472535.1	10609958	GCF_901472535.1	10706548	
GCA_009036245.1	14480948	GCF_009036245.1	15521028	
GCA_003687485.1	7633758	GCF_003687485.1	7638698	
GCA_009498235.1	15005278	GCF_009498235.1	15120618	
GCA_009914055.1	15883588	GCF_009914055.1	15927298	
GCA_001590685.1	3041128	GCF_001590685.1	3398058	
GCA_018459925.1	26845978	GCF_018459925.1	26947758	
GCA_002276165.1	4970868	GCF_002276165.1	4978918	
GCA_013394675.1	20287938	GCF_013394675.1	20300428	
GCA_002117405.1	4429308	GCF_002117405.1	4444788	
GCA_008274825.1	13608888	GCF_008274825.1	13742578	
GCA_014395785.1	21903748	GCF_014395785.1	21996418	
GCA_019670705.1	28444518	GCF_019670705.1	28494368	
GCA_006494815.1	11528568	GCF_006494815.1	11567338	
GCA_003815635.1	7905218	GCF_003815635.1	7930918	
GCA_012273615.1	18659488	GCF_012273615.1	18665288	
GCA_003353065.1	6973178	GCF_003353065.1	7001758	
GCA_017742995.1	26005748	GCF_017742995.1	26058128	
GCA_009429125.1	14904848	GCF_009429125.1	14991098	
GCA_016906025.1	25034808	GCF_016906025.1	25062698	
GCA_002097535.1	4384508	GCF_002097535.1	4396528	
GCA_900169565.1	4321328	GCF_900169565.1	4333578	
GCA_013372285.1	20140018	GCF_013372285.1	20158978	
GCA_002549795.1	5342458	GCF_002549795.1	5379798	
GCA_005484945.1	10101688	GCF_005484945.1	10193438	
GCA_009884975.1	15805118	GCF_009884975.1	15857928	
GCA_003515985.1	7366278	GCF_003515985.1	7422528	
GCA_002993285.1	6202868	GCF_002993285.1	6239838	
GCA_900066015.1	4957298	GCF_900066015.1	4963398	
GCA_002157165.1	4525218	GCF_002157165.1	4530568	
GCA_008000935.1	13248488	GCF_008000935.1	13326488	
GCA_001545155.1	2856328	GCF_001545155.1	3392898	
GCA_014489415.1	22002758	GCF_014489415.1	22004378	
GCA_012295595.1	18685698	GCF_012295595.1	18803968	
GCA_006740765.1	11803588	GCF_006740765.1	11977938	
GCA_014083925.1	21451368	GCF_014083925.1	21546388	
GCA_007954585.1	13146358	GCF_007954585.1	13219488	
GCA_001553605.1	2868438	GCF_001553605.1	3138758	
GCA_904848165.1	22990698	GCF_904848165.1	24703568	
GCA_900683625.1	8660288	GCF_900683625.1	8686428	
GCA_018734325.1	27224088	GCF_018734325.1	27291168	
GCA_019703835.1	28491948	GCF_019703835.1	28506128	
GCA_005280655.1	9894998	GCF_005280655.1	9936668	
GCA_017638925.1	25886608	GCF_017638925.1	25913478	
GCA_002355155.1	5088028	GCF_002355155.1	5109068	
GCA_002009295.1	4164468	GCF_002009295.1	4191318	
GCA_002222655.1	4786668	GCF_002222655.1	4831308	
GCA_013343005.1	20075238	GCF_013343005.1	20080128	
GCA_900637495.1	8123218	GCF_900637495.1	8151278	
GCA_001606025.1	3155208	GCF_001606025.1	3171238	
GCA_007904085.1	13095088	GCF_007904085.1	13184128	
GCA_003342695.1	6953098	GCF_003342695.1	6963508	
GCA_018128325.1	26449928	GCF_018128325.1	26702428	
GCA_015565955.1	23288788	GCF_015565955.1	23354058	
GCA_001458695.1	2705438	GCF_001458695.1	3141178	
GCA_001735765.2	6154238	GCF_001735765.2	6179488	
GCA_003860585.1	7983318	GCF_003860585.1	8056458	
GCA_009834165.1	15737628	GCF_009834165.1	15826138	
GCA_900659885.1	22176028	GCF_900659885.1	22203188	
GCA_018409545.1	26790838	GCF_018409545.1	26884138	
GCA_012689545.1	19101368	GCF_012689545.1	19167168	
GCA_003286395.1	6751388	GCF_003286395.1	8482238	
GCA_002220195.1	4684228	GCF_002220195.1	4685798	
GCA_014211955.1	21616268	GCF_014211955.1	21714608	
GCA_007361795.1	12488448	GCF_007361795.1	12914428	
GCA_001050435.1	1861888	GCF_001050435.1	1891678	
GCA_001718955.1	3433148	GCF_001718955.1	3433608	
GCA_009938185.1	15961298	GCF_009938185.1	16218708	
GCA_001718555.1	3432788	GCF_001718555.1	3433908	
GCA_002844335.1	5797258	GCF_002844335.1	5812518	
GCA_900157305.1	6773708	GCF_900157305.1	19438788	
GCA_000730285.1	1174688	GCF_000730285.1	13506798	
GCA_014297595.1	21782028	GCF_014297595.1	21815678	
GCA_014489495.1	22002898	GCF_014489495.1	22004478	
GCA_001444445.1	2685568	GCF_001444445.1	2845298	
GCA_002302635.1	5010178	GCF_002302635.1	5019528	
GCA_003122425.1	6490318	GCF_003122425.1	7503918	
GCA_003346755.1	6963948	GCF_003346755.1	6976668	
GCA_001298525.1	2343818	GCF_001298525.1	3142638	
GCA_001281485.1	2313288	GCF_001281485.1	3136048	
GCA_003860465.1	7983198	GCF_003860465.1	7989778	
GCA_014489515.1	22002938	GCF_014489515.1	22004398	
GCA_907163105.1	26795418	GCF_907163105.1	26874368	
GCA_002116695.1	4425128	GCF_002116695.1	13506678	
GCA_001663675.1	3299898	GCF_001663675.1	3405468	
GCA_018304805.1	26639118	GCF_018304805.1	26675888	
GCA_018304825.1	26639138	GCF_018304825.1	26675908	
GCA_009671065.1	15425948	GCF_009671065.1	15461688	
GCA_004028275.1	8255688	GCF_004028275.1	8256698	
GCA_010587025.1	16732688	GCF_010587025.1	17320938	
GCA_009734265.1	15585748	GCF_009734265.1	15608428	
GCA_900184705.1	4580538	GCF_900184705.1	4591808	
GCA_003990665.2	8177538	GCF_003990665.1	8192028	
GCA_003860545.1	7983278	GCF_003860545.1	7988718	
GCA_008326385.1	13662108	GCF_008326385.1	13759168	
GCA_014705925.2	22871018	GCF_014705925.2	22905498	
GCA_016599755.1	24514268	GCF_016599755.1	24569718	
GCA_000742835.1	1191028	GCF_000742835.1	1516218	
GCA_002117445.1	4429358	GCF_002117445.1	4445848	
GCA_900095295.1	3444738	GCF_900095295.1	3765328	
GCA_000801145.1	1420648	GCF_000801145.1	1488868	
GCA_014705945.2	22871758	GCF_014705945.2	24898968	
GCA_002763625.1	5636148	GCF_002763625.1	5650518	
GCA_009734445.1	15585928	GCF_009734445.1	15597788	
GCA_002076915.1	4335728	GCF_002076915.1	4339968	
GCA_009026825.1	14471618	GCF_009026825.1	14633748	
GCA_003814005.1	7903558	GCF_003814005.1	7935868	
GCA_004291115.2	24948318	GCF_004291115.2	24974528	
GCA_003795125.1	7878108	GCF_003795125.1	7935218	
GCA_001267255.1	2213368	GCF_001267255.1	2291798	
GCA_900638345.1	8124758	GCF_900638345.1	8150018	
GCA_006770285.1	11833458	GCF_006770285.1	22199808	
GCA_007990635.1	13182848	GCF_007990635.1	13210048	
GCA_009301415.1	14774808	GCF_009301415.1	14836668	
GCA_013378015.1	20180568	GCF_013378015.1	20240968	
GCA_003606325.3	14013638	GCF_003606325.2	14087528	
GCA_017603605.1	25850978	GCF_017603605.1	25889908	
GCA_019469265.1	28215098	GCF_019469265.1	28291928	
GCA_003606345.3	14213568	GCF_003606345.3	14255118	
GCA_006770265.1	11833438	GCF_006770265.1	22199788	
GCA_900095155.1	3628588	GCF_900095155.1	3667868	
GCA_018127725.1	26449248	GCF_018127725.1	26707148	
GCA_000953715.1	1684778	GCF_000953715.1	1689538	
GCA_003097575.1	6458338	GCF_003097575.1	6479058	
GCA_003151025.1	6541228	GCF_003151025.1	6565418	
GCA_004102945.1	8331358	GCF_004102945.1	8354158	
GCA_900012635.1	3376818	GCF_900012635.1	3406968	
GCA_001460635.1	2707358	GCF_001460635.1	2717288	
GCA_017894345.1	26171248	GCF_017894345.1	26185588	
GCA_016599815.1	24514328	GCF_016599815.1	24568928	
GCA_900090055.1	4099448	GCF_900090055.1	4103788	
GCA_003173695.1	6568918	GCF_003173695.1	6578808	
GCA_003522965.1	7373378	GCF_003522965.1	7422808	
GCA_002117145.1	4429058	GCF_002117145.1	4445788	
GCA_900638385.1	8124838	GCF_900638385.1	8159398	
GCA_008831385.1	14240288	GCF_008831385.1	14366218	
GCA_004124255.1	8379728	GCF_004124255.1	8413848	
GCA_003347095.1	6964468	GCF_003347095.1	6974088	
GCA_902810445.1	21975888	GCF_902810445.1	23918918	
GCA_009025875.1	14469778	GCF_009025875.1	14633088	
GCA_000953015.1	1684098	GCF_000953015.1	1710648	
GCA_002021945.1	4185138	GCF_002021945.1	4188468	
GCA_009428965.1	14904668	GCF_009428965.1	14935838	
GCA_018685455.1	27154988	GCF_018685455.1	27209148	
GCA_002787055.1	5667998	GCF_002787055.1	5679538	
GCA_014931075.1	22587958	GCF_014931075.1	23839478	
GCA_000955905.3	1779158	GCF_000955905.1	1838218	
GCA_002906215.1	5959578	GCF_002906215.1	5972608	
GCA_900638585.1	8125298	GCF_900638585.1	8154718	
GCA_003966755.1	8125688	GCF_003966755.1	8150798	
GCA_900248165.1	5987738	GCF_900248165.1	13506738	
GCA_018968685.1	27500388	GCF_018968685.1	27533678	
GCA_003015145.1	6288478	GCF_003015145.1	6305398	
GCA_005845345.1	10688848	GCF_005845345.1	10739008	
GCA_002355955.1	5088828	GCF_002355955.1	5108328	
GCA_002288325.1	4994348	GCF_002288325.1	4995228	
GCA_012276695.1	18664128	GCF_012276695.1	18949988	
GCA_002288185.1	4994208	GCF_002288185.1	4995368	
GCA_002287965.1	4993988	GCF_002287965.1	4995708	
GCA_002156965.1	4525048	GCF_002156965.1	4530428	
GCA_002288065.1	4994098	GCF_002288065.1	4995148	
GCA_007989425.1	13181568	GCF_007989425.1	13218128	
GCA_002288365.1	4994388	GCF_002288365.1	4995768	
GCA_002288145.1	4994178	GCF_002288145.1	4995348	
GCA_900465355.1	6708978	GCF_900465355.1	7660758	
GCA_002287885.2	5208498	GCF_002287885.2	5294298	
GCA_000812185.1	1460448	GCF_000812185.1	1837478	
GCA_904848675.1	27547838	GCF_904848675.1	27564618	
GCA_002288005.1	4994028	GCF_002288005.1	4995128	
GCA_013342985.1	20075218	GCF_013342985.1	20078768	
GCA_002288305.1	4994328	GCF_002288305.1	4995428	
GCA_002688585.1	5539978	GCF_002688585.1	5592578	
GCA_910593725.1	27797098	GCF_910593725.1	27815088	
GCA_000513475.1	886108	GCF_000513475.1	886518	
GCA_900698925.1	8844148	GCF_900698925.1	15689718	
GCA_000010405.1	11208	GCF_000010405.1	31908	
GCA_900048035.1	3148458	GCF_900048035.1	3399528	
GCA_007858515.1	13024538	GCF_007858515.1	13186928	
GCA_001936295.1	3943028	GCF_001936295.1	3960038	
GCA_003072485.1	6412238	GCF_003072485.1	6427018	
GCA_001534665.1	2828148	GCF_001534665.1	3391458	
GCA_900039485.1	3148438	GCF_900039485.1	3400028	
GCA_018024475.1	26322908	GCF_018024475.1	26412628	
GCA_003640545.1	7567968	GCF_003640545.1	7606808	
GCA_003072465.1	6412138	GCF_003072465.1	6427038	
GCA_000828815.1	1504598	GCF_000828815.1	1507268	
GCA_000803625.1	1423318	GCF_000803625.1	1502818	
GCA_000828855.1	1504638	GCF_000828855.1	1703368	
GCA_000582535.1	956678	GCF_000582535.1	1514348	
GCA_900044015.1	3148538	GCF_900044015.1	3400068	
GCA_003268615.1	6730938	GCF_003268615.1	6901748	
GCA_003391335.1	7082198	GCF_003391335.1	7094098	
GCA_900048045.1	3148638	GCF_900048045.1	3400088	
GCA_000709555.1	1138158	GCF_000709555.1	1512928	
GCA_902860225.1	20174348	GCF_902860225.1	20176408	
GCA_900215245.1	5044618	GCF_900215245.1	5079338	
GCA_000241955.1	326598	GCF_000241955.1	367638	
GCA_001564415.1	2884208	GCF_001564415.1	2892758	
GCA_000661955.1	1038448	GCF_000661955.1	1454818	
GCA_900103345.1	3633898	GCF_900103345.1	4368078	
GCA_900105335.1	3639578	GCF_900105335.1	4368178	
GCA_900108595.1	3644688	GCF_900108595.1	4342208	
GCA_003867075.1	7993918	GCF_003867075.1	8066058	
GCA_007066085.1	12171178	GCF_007066085.1	12892478	
GCA_900106005.1	3639348	GCF_900106005.1	4368098	
GCA_000376665.1	598948	GCF_000376665.1	608448	
GCA_000069785.1	353518	GCF_000069785.1	88388	
GCA_900105155.1	3638608	GCF_900105155.1	4884228	
GCA_004758605.1	9246038	GCF_004758605.1	13197818	
GCA_001632305.1	3210498	GCF_001632305.1	3210958	
GCA_000331025.1	521948	GCF_000331025.1	521968	
GCA_000973065.1	1728258	GCF_000973065.1	1894688	
GCA_002849855.1	5827388	GCF_002849855.1	5861858	
GCA_019444005.1	28176008	GCF_019444005.1	28192448	
GCA_002761295.1	5627068	GCF_002761295.1	5632518	
GCA_000210095.1	272658	GCF_000210095.1	589348	
GCA_901538385.1	16505848	GCF_901538385.1	17018008	
GCA_900104725.1	3639188	GCF_900104725.1	4886168	
GCA_006517175.1	11570798	GCF_006517175.1	11597168	
GCA_900091495.1	4676248	GCF_900091495.1	4678268	
GCA_900105925.1	3638828	GCF_900105925.1	4368358	
GCA_900090265.1	4676308	GCF_900090265.1	4678368	
GCA_900091445.1	4676448	GCF_900091445.1	4678348	
GCA_900105475.1	3639438	GCF_900105475.1	4871568	
GCA_900103875.1	3631248	GCF_900103875.1	4871408	
GCA_900105485.1	3639368	GCF_900105485.1	4872228	
GCA_900104895.1	3638468	GCF_900104895.1	4368058	
GCA_001580365.1	2931948	GCF_001580365.1	3147258	
GCA_900103625.1	3636528	GCF_900103625.1	4883348	
GCA_900105865.1	3638668	GCF_900105865.1	4878248	
GCA_001656035.1	3284328	GCF_001656035.1	3290168	
GCA_900102035.1	3633258	GCF_900102035.1	4368118	
GCA_900108565.1	3644408	GCF_900108565.1	4368318	
GCA_900106045.1	3640038	GCF_900106045.1	4871688	
GCA_000341895.1	548818	GCF_000341895.1	548838	
GCA_017378515.1	25579518	GCF_017378515.1	25722458	
GCA_001683355.1	3339978	GCF_001683355.1	3341158	
GCA_000026765.1	27568	GCF_000026765.1	45688	
GCA_000468495.1	783318	GCF_000468495.1	789118	
GCA_900089595.1	3311648	GCF_900089595.1	4880388	
GCA_900091515.1	4676488	GCF_900091515.1	4678168	
GCA_900106015.1	3638928	GCF_900106015.1	4884888	
GCA_004319545.1	8679468	GCF_004319545.1	8699648	
GCA_900142975.1	4218398	GCF_900142975.1	4242488	
GCA_900167475.1	4186878	GCF_900167475.1	4193658	
GCA_003691585.1	7643468	GCF_003691585.1	7658388	
GCA_900105445.1	3639678	GCF_900105445.1	4368198	
GCA_900177405.1	4390248	GCF_900177405.1	4404518	
GCA_003177275.1	6580258	GCF_003177275.1	25908498	
GCA_007556775.1	12683748	GCF_007556775.1	12915078	
GCA_900105025.1	3639718	GCF_900105025.1	4876008	
GCA_004117075.1	8359698	GCF_004117075.1	8382588	
GCA_001746855.1	3471338	GCF_001746855.1	3472238	
GCA_000210715.1	273278	GCF_000210715.1	589588	
GCA_000317535.1	503918	GCF_000317535.1	521618	
GCA_900176595.1	4364678	GCF_900176595.1	4373288	
GCA_000349325.1	561808	GCF_000349325.1	562028	
GCA_900176005.1	4364038	GCF_900176005.1	4381008	
GCA_001583435.1	2934978	GCF_001583435.1	2939408	
GCA_000427095.1	734288	GCF_000427095.1	854448	
GCA_000331105.1	522138	GCF_000331105.1	522158	
GCA_900177425.1	4389928	GCF_900177425.1	25918798	
GCA_007752535.1	12895318	GCF_007752535.1	13037928	
GCA_900103775.1	3635728	GCF_900103775.1	4368298	
GCA_003626895.1	7548888	GCF_003626895.1	7554278	
